work_year,job_title,job_category,salary,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2025,Data Scientist,Data Science,152000,United States,Entry,Full-time,Remote,"San Francisco, CA",Large
2025,Machine Learning Engineer,Machine Learning,175000,United States,Mid,Full-time,Hybrid,"New York, NY",Large
2025,Senior Data Scientist,Data Science,195000,United States,Senior,Full-time,In-person,"Seattle, WA",Large
2025,Data Analyst,Data Analysis,86500,United States,Entry,Full-time,Remote,"Austin, TX",Medium
2025,Principal Data Scientist,Data Science,243000,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025,AI Engineer,Artificial Intelligence,190000,United States,Mid,Full-time,Remote,"Boston, MA",Large
2025,Data Engineer,Data Engineering,125000,United States,Mid,Full-time,In-person,"Chicago, IL",Medium
2025,Business Intelligence Analyst,Business Intelligence,78000,United States,Entry,Full-time,Hybrid,"Denver, CO",Medium
2025,Quantitative Analyst,Quantitative Analysis,165000,United States,Mid,Full-time,In-person,"New York, NY",Large
2025,Data Architect,Data Architecture,190000,United States,Senior,Full-time,Hybrid,"San Francisco, CA",Large
2025,Machine Learning Engineer,Machine Learning,75000,Germany,Mid,Full-time,Remote,Munich,Medium
2025,Data Scientist,Data Science,67000,United Kingdom,Mid,Full-time,Hybrid,London,Large
2025,Senior Data Analyst,Data Analysis,95000,Canada,Senior,Full-time,Remote,Toronto,Medium
2025,AI Specialist,Artificial Intelligence,205000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Junior Data Scientist,Data Science,117000,United States,Entry,Full-time,Remote,"Portland, OR",Small
2025,Big Data Engineer,Data Engineering,145000,United States,Mid,Full-time,Hybrid,"Seattle, WA",Large
2025,NLP Specialist,Natural Language Processing,170000,United States,Mid,Full-time,Remote,"New York, NY",Large
2025,Data Scientist,Data Science,120000,Switzerland,Mid,Full-time,In-person,Zurich,Large
2025,Machine Learning Engineer,Machine Learning,158000,United States,Mid,Contract,Remote,"Los Angeles, CA",Medium
2025,Senior Data Engineer,Data Engineering,165000,United States,Senior,Full-time,Hybrid,"Austin, TX",Large
2025,Data Analyst,Data Analysis,55000,Germany,Entry,Full-time,Remote,Berlin,Medium
2025,Chief Data Officer,Data Leadership,285000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Research Scientist,Research,180000,United States,Senior,Full-time,Hybrid,"Boston, MA",Large
2025,Data Scientist,Data Science,52000,United Kingdom,Entry,Full-time,Remote,Manchester,Small
2025,Machine Learning Engineer,Machine Learning,130000,Canada,Mid,Full-time,Hybrid,Vancouver,Medium
2025,Senior Business Intelligence Analyst,Business Intelligence,105000,United States,Senior,Full-time,In-person,"Chicago, IL",Medium
2025,Data Scientist,Data Science,142000,United States,Mid,Full-time,Remote,"Miami, FL",Medium
2025,AI Research Engineer,Artificial Intelligence,195000,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025,Junior Data Analyst,Data Analysis,68000,United States,Entry,Full-time,Remote,"Phoenix, AZ",Small
2025,Data Engineering Manager,Data Engineering,220000,United States,Senior,Full-time,In-person,"San Francisco, CA",Large
2025,Machine Learning Engineer,Machine Learning,85000,Netherlands,Mid,Full-time,Hybrid,Amsterdam,Large
2025,Data Scientist,Data Science,110000,Australia,Mid,Full-time,Remote,Sydney,Medium
2025,Senior AI Engineer,Artificial Intelligence,225000,United States,Senior,Full-time,Hybrid,"New York, NY",Large
2025,Data Analyst,Data Analysis,75000,Canada,Entry,Part-time,Remote,Montreal,Small
2025,Computer Vision Engineer,Computer Vision,185000,United States,Mid,Full-time,In-person,"San Francisco, CA",Large
2025,Data Scientist,Data Science,128000,United States,Entry,Full-time,Hybrid,"Atlanta, GA",Medium
2025,Machine Learning Engineer,Machine Learning,212000,United States,Senior,Full-time,Remote,"Austin, TX",Large
2025,Business Data Analyst,Business Intelligence,45000,United Kingdom,Entry,Full-time,In-person,Birmingham,Small
2025,Data Science Manager,Data Science,240000,United States,Senior,Full-time,Hybrid,"Seattle, WA",Large
2025,Junior Machine Learning Engineer,Machine Learning,105000,United States,Entry,Full-time,Remote,"Denver, CO",Medium
2025,Senior Data Architect,Data Architecture,210000,United States,Senior,Full-time,In-person,"New York, NY",Large
2025,Data Scientist,Data Science,68000,France,Mid,Full-time,Hybrid,Paris,Medium
2025,AI Product Manager,Product Management,175000,United States,Mid,Full-time,Remote,"San Francisco, CA",Large
2025,Data Engineer,Data Engineering,98000,United States,Entry,Contract,Remote,"Nashville, TN",Small
